#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1025.0%	205000	-29947.634654926806	307.67495866724386	121	23:55:37
1030.0%	206000	-29798.682529137557	306.9446783137577	121	23:55:36
1035.0%	207000	-29823.93555205717	309.337283897106	121	23:55:34
1040.0%	208000	-29917.411628044792	309.0203224172135	121	23:55:33
1045.0%	209000	-29961.863864137238	304.439785868991	121	23:55:31
1050.0%	210000	-29747.195587001683	298.1357746324816	121	23:55:30
1055.0%	211000	-29922.01217980354	300.9687732259287	121	23:55:29
1060.0%	212000	-30031.67537760106	299.263413538876	121	23:55:27
1065.0%	213000	-30179.432883160713	291.61942048310647	121	23:55:26
1070.0%	214000	-29804.562770563993	293.69447214525684	121	23:55:24
1075.0%	215000	-30087.496403069905	293.12170764792444	121	23:55:23
1080.0%	216000	-30159.221451317106	300.6580568677319	121	23:55:21
1085.0%	217000	-30220.507625604398	289.557499273602	121	23:55:20
1090.0%	218000	-30182.624458732782	293.5733186165287	121	23:55:19
1095.0%	219000	-29977.14568094001	291.0297825507959	121	23:55:17
1100.0%	220000	-29820.151806493115	299.15359158373167	121	23:55:16
1105.0%	221000	-30278.657602186373	295.86547180189547	121	23:55:14
1110.0%	222000	-29800.586232038942	308.2291501035432	121	23:55:13
1115.0%	223000	-29806.985688507528	311.67427055045084	121	23:55:12
1120.0%	224000	-29705.4440724483	308.7040822531048	121	23:55:10
1125.0%	225000	-29788.17448915291	305.80406077063736	121	23:55:09
1130.0%	226000	-29940.465784521104	305.65480466496643	121	23:55:07
1135.0%	227000	-29849.733560016524	298.59248666744065	121	23:55:06
1140.0%	228000	-29960.94718609043	304.50036169617283	121	23:55:04
1145.0%	229000	-30183.66961005004	299.54581630492976	121	23:55:03
1150.0%	230000	-29786.205788051215	307.6887883804379	121	23:55:02
1155.0%	231000	-29756.27176241437	300.4356054762313	121	23:55:00
1160.0%	232000	-29713.72378565985	297.42368082300817	121	23:54:59
1165.0%	233000	-29899.778001601313	299.5044043610169	121	23:54:57
1170.0%	234000	-29913.66466472228	304.87498247881143	121	23:54:56
1175.0%	235000	-29873.750313476747	301.7014821026599	121	23:54:55
1180.0%	236000	-30349.711339284986	314.2564118786754	121	23:54:53
1185.0%	237000	-29729.52545696142	313.2054723191621	121	23:54:52
1190.0%	238000	-29807.483962567436	298.1887032375285	121	23:54:50
1195.0%	239000	-30260.363844926032	313.040928778191	121	23:54:49
1200.0%	240000	-30118.083590372087	311.76662306109074	121	23:54:47
1205.0%	241000	-30176.992526084447	304.1002747730172	121	23:54:46
1210.0%	242000	-29622.075529918366	297.42475473904005	121	23:54:45
1215.0%	243000	-29823.998817255517	301.6932288436674	121	23:54:43
1220.0%	244000	-29732.331529821706	302.4117632643741	121	23:54:42
1225.0%	245000	-29980.272465267393	305.85877497825766	121	23:54:40
1230.0%	246000	-29928.46482266314	299.61332130944	121	23:54:39
1235.0%	247000	-29849.9254166389	294.55702401048813	121	23:54:38
1240.0%	248000	-29910.88259190417	290.66336949411186	121	23:54:36
1245.0%	249000	-29581.21567047169	295.4780577395261	121	23:54:35
1250.0%	250000	-29657.849068644136	297.80361362240114	121	23:54:33
1255.0%	251000	-29701.56956910173	299.1509235237925	121	23:54:32
1260.0%	252000	-29587.983556728635	296.91572951261156	121	23:54:30
1265.0%	253000	-29725.4632103873	301.2471515098117	121	23:54:29
1270.0%	254000	-29644.13058031787	292.819609835994	121	23:54:28
1275.0%	255000	-29773.196944248717	294.1654640795814	121	23:54:26
1280.0%	256000	-30010.877512759238	295.7157047140749	121	23:54:25
1285.0%	257000	-30105.43453509471	299.6785112508297	121	23:54:23
1290.0%	258000	-30179.059226643556	297.23239031512486	121	23:54:22
1295.0%	259000	-30134.08932402276	299.7900025091398	121	23:54:20
1300.0%	260000	-29816.114723080624	296.91932602318764	121	23:54:19
1305.0%	261000	-29808.707029919256	300.64862070407247	121	23:54:18
1310.0%	262000	-30153.183737462386	301.91360546050873	121	23:54:16
1315.0%	263000	-29895.762731770083	301.2627304457766	121	23:54:15
1320.0%	264000	-29868.658345063915	306.03233049111	121	23:54:13
1325.0%	265000	-29909.35006922629	291.9527141874002	121	23:54:12
1330.0%	266000	-30048.86315612975	308.46614521199234	121	23:54:10
1335.0%	267000	-29763.422047688247	296.9518735478401	121	23:54:09
1340.0%	268000	-30241.22977775446	285.32481183266066	121	23:54:08
1345.0%	269000	-30112.84784754974	287.3930644681614	121	23:54:06
1350.0%	270000	-29962.49332899443	297.7293012714003	121	23:54:05
1355.0%	271000	-30115.32820375025	283.54703914414944	121	23:54:03
1360.0%	272000	-29901.57772536177	309.705411227371	121	23:54:02
1365.0%	273000	-29957.834058482695	293.0912012049921	121	23:54:00
1370.0%	274000	-29842.5944614725	299.4158200273742	121	23:53:59
1375.0%	275000	-30302.342168664618	313.8878610944944	121	23:53:58
1380.0%	276000	-30115.62804024396	304.62041344483987	121	23:53:56
1385.0%	277000	-30144.336322398478	297.1878474332545	121	23:53:55
1390.0%	278000	-29812.525362168846	288.4825274744881	121	23:53:53
1395.0%	279000	-29924.552347651683	298.9198565833813	121	23:53:52
1400.0%	280000	-29726.48460089788	291.4876938494636	121	23:53:50
